40,132,2,1/1/2012,,1e Pakket aanvragen,9.75
41,132,3,1/1/2012,,Extra Pakket aanvragen,3.66
42,132,5,1/1/2012,,Pakket wijzigen,3.44
10,132,124,1/1/2012,,Pakket naar Studentenrekening omzetten,3.44
43,132,161,1/1/2012,5/5/2014,Convenantrekening aanvragen,9.75
44,134,2,1/1/2012,,Toegang aanvragen,1.98
45,134,121,1/1/2012,,Wachtwoord Mijn ING,0.48
46,134,144,1/1/2012,,Wachtwoord of activeringscode Mijn ING,1.44
103,134,146,1/7/2012,,Wijzigen mobiele nummer,1.44
164,134,1204,6/3/2017,,Toevoegen jeugdrekening aan Mijn ING Ouders,1.98
107,136,5,1/8/2013,,Persoonsgegevens,1.98
104,137,1120,7/1/2013,,Beheren e-mailadres en e-mail voorkeur,1.44
47,138,8,1/1/2012,,Rekening opzeggen,2.47
48,138,124,1/1/2012,,Jongerenrekening naar Studentenrekening omzetten,3.44
108,200,2,1/8/2013,,Aanvragen sparen,5.58
109,200,8,1/8/2013,,Opzeggen sparen,2.47
110,200,209,1/8/2013,,Overboeken naar rekening sparen,1.44
111,200,216,1/8/2013,1/10/2014,Inleggen sparen,1.02
49,204,2,1/1/2012,,Bonusrenterekening,5.58
50,204,8,1/1/2012,,Spaarrekening opzeggen Bonusrenterekening,2.47
51,204,209,1/1/2012,,Giraal overboeken naar Betaalrekening Bonusrenterekening,1.44
52,204,216,1/1/2012,,Bonusrenterekening,1.02
53,208,2,1/1/2012,,Kwartaalextrarekening,5.58
54,208,8,1/1/2012,,Spaarrekening opzeggen Kwartaalextrarekening,2.47
55,208,209,1/1/2012,,Giraal overboeken naar Betaalrekening Kwartaalextrarekening,1.44
56,208,216,1/1/2012,,Kwartaalextrarekening,1.02
57,213,2,1/1/2012,,Toprekening,5.58
58,213,8,1/1/2012,,Spaarrekening opzeggen Toprekening,2.47
59,213,209,1/1/2012,,Giraal overboeken naar Betaalrekening Toprekening,1.44
60,213,216,1/1/2012,,Toprekening,1.02
61,214,2,1/1/2012,,Comfortspaarrekening,5.58
62,214,8,1/1/2012,,Spaarrekening opzeggen Comfortspaarrekening,2.47
63,214,209,1/1/2012,,Giraal overboeken naar Betaalrekening Comfortspaarrekening,1.44
64,214,216,1/1/2012,,Comfortspaarrekening,1.02
67,215,2,1/1/2012,,Profijtrekening,5.58
68,215,8,1/1/2012,,Spaarrekening opzeggen Profijtrekening,2.47
69,215,209,1/1/2012,,Giraal overboeken naar Betaalrekening Profijtrekening,1.44
70,215,216,1/1/2012,,Profijtrekening,1.02
118,219,1019,2/6/2014,,Doorlopen Spaarwijzer,1.44
112,611,133,1/8/2013,,Wijzigen Adres,1.98
113,612,160,1/8/2013,,Wijzigen Correspondentieadres,1.98
71,920,2,1/1/2012,,Aanvragen,2.47
72,920,6,1/1/2012,,Vervangen,2.47
73,920,8,1/1/2012,,Opzeggen,2.47
74,925,2,1/1/2012,,Aanvragen,1.44
75,925,6,1/1/2012,,Vervangen,1.44
76,925,8,1/1/2012,,Opzeggen,1.44
77,925,120,1/1/2012,,Pincode en of Betaalpas,1.44
78,925,121,1/1/2012,,Pas en of Pincode,0.48
79,925,953,1/1/2012,,Pincode opnieuw aanvragen,1.44
