1.18547E+17,SBI-Lucknow-Rampur-Civil Line,Lobby Camera 1,IVIS4505C1,SBI-Lucknow,5/12/2019 10:40,Team Member,Smoke,ATM Transaction,0d 0h 0m 22s
1.18547E+17,JFS-TN-Chennai-Hosur,Bank Lobby,IVIS8327C3,JFS,5/12/2019 10:40,Team Member,Camera Event,False Activity,0d 0h 0m 19s
1.18547E+17,JFS-TN-Chennai-Hosur,Bank Teller & Bank Vault,IVIS8327C4,JFS,5/12/2019 10:40,Team Member,Camera Event,False Activity,0d 0h 0m 13s
1.18547E+17,SBI-Amaravati-Hindupur-Teachers Colony,Lobby Camera 1,IVIS4712C1,SBI-Amaravati,5/12/2019 10:40,Team Member,Vibration_ATM1,False Activity,0d 0h 0m 21s
1.18547E+17,JFS-MH-Mumbai-Palgarh,ATM Lobby,IVIS5591C3,JFS,5/12/2019 10:40,Team Member,Camera Event,False Activity,0d 0h 0m 21s
1.18547E+17,Central Bank ZO Bhopal-POC,Cam1,IVISC001C1,CBI-POC,5/12/2019 10:40,Team Member,Camera Event,Guard/Staff On Site,0d 0h 0m 14s
1.18547E+17,BOB-AP-Vizag-Dabagardens Main Rd Onsite,Pinhole,IVIS7099C2,BOB,5/12/2019 10:40,Team Member,Glass Break Sensor,ATM Transaction,0d 0h 0m 14s
1.18547E+17,BOB-RJ-Nagaur-Didwana Main Market Offsite,Lobby,IVIS7750C1,BOB,5/12/2019 10:40,Team Member,Backdoor Sensor,False Activity,0d 0h 0m 29s
1.18547E+17,SBI-Mumbai-Yavatmal-Umersa Theenfoto Chowk,Lobby Camera 1,IVIS3801C1,SBI-MUMBAI,5/12/2019 10:40,Team Member,Vibration_ATM1,ATM Transaction,0d 0h 0m 19s
1.18547E+17,JFS-GJ-Ahmedabad-Narol,Gold Teller,IVIS5559C5,JFS,5/12/2019 10:40,Team Member,Camera Event,False Activity,0d 0h 0m 19s
1.18547E+17,IDFC-BP-TS-Hyd-Gachibowli,ATM Lobby,IVIS8342C7,IDFC,5/12/2019 10:40,Team Member,Camera Event,False Activity,0d 0h 0m 34s
1.18547E+17,CBI-AP-Bobbili-Palace Road Offsite,Lobby Camera 1,IVIS8357C1,CBI,5/12/2019 10:40,Team Member,Glass Break Sensor,ATM Transaction,0d 0h 0m 16s
1.18547E+17,SBI-Bhopal Gomantika Jawahar Chowk TT nagar,Lobby Camera 1,IVIS2969C1,SBI-Bhopal,5/12/2019 10:40,Team Member,Vibration_ATM1,ATM Transaction,0d 0h 0m 21s
1.18547E+17,IDFC-Delhi-NFC Branch,Teller,IVIS6097C4,IDFC,5/12/2019 10:40,Team Member,Camera Event,False Activity,0d 0h 0m 32s
1.18547E+17,CBI-MP-Raisen-Ghairatganj P O Onsite,Lobby,IVIS8603C1,CBI,5/12/2019 10:40,Team Member,PIR Sensor,False Activity,0d 0h 0m 16s
1.18547E+17,JFS-WB-Kolkata-Sithi,Lobby,IVIS5572C2,JFS,5/12/2019 10:40,Team Member,Camera Event,False Activity,0d 0h 0m 24s
1.18547E+17,IDFC-BP-KTK-Indira Nagar,ATM Lobby,IVIS8334C5,IDFC,5/12/2019 10:40,Team Member,Camera Event,False Activity,0d 0h 0m 20s
1.18547E+17,Central Bank ZO Bhopal-POC,Cam10,IVISC001C3,CBI-POC,5/12/2019 10:40,Team Member,Camera Event,Guard/Staff On Site,0d 0h 0m 13s
1.18547E+17,IDFC-BB-MP-Ratlam,Shutter/Lobby,IVIS5240C2,IDFC,5/12/2019 10:39,Team Member,Camera Event,False Activity,0d 0h 0m 13s
1.18547E+17,JFS-MH-Mumbai-Virar,GL Desk,IVIS5519C4,JFS,5/12/2019 10:39,Team Member,Camera Event,False Activity,0d 0h 0m 13s
1.18547E+17,IDFC-BP-MH-Mumbai-Andheri East-Everest Chambers,ATM Lobby,IVIS6091C2,IDFC,5/12/2019 10:39,Team Member,Camera Event,Guard/Staff on site,0d 0h 0m 11s
1.18547E+17,SBI-Lucknow-Allahabad-Muthiganj Crossing,Lobby,IVIS10165C1,SBI-Lucknow,5/12/2019 10:39,Team Member,ATM1 Vibration Sensor,ATM Transaction,0d 0h 0m 40s
1.18547E+17,IDFC-BP-UP-Noida Sector-18,ATM Lobby,IVIS6094C11,IDFC,5/12/2019 10:39,Team Member,Camera Event,Guard/Staff On Site,0d 0h 0m 22s
1.18547E+17,IDFC-BB-RJ-Ugariyawas,Teller,IVIS5234C3,IDFC,5/12/2019 10:39,Team Member,Camera Event,False Activity,0d 0h 0m 19s
1.18547E+17,ICICI-Guntur-Lakshmi Puram,ATM Lobby-1,IVISIB01C9,ICICI-POC,5/12/2019 10:39,Team Member,Camera Event,ATM Transaction,0d 0h 0m 53s
1.18547E+17,JSFB-PB-Bathinda-Rampura Phul,Entrance & Lobby,IVIS10703C1,JFS,5/12/2019 10:39,Team Member,Camera Event,False Activity,0d 0h 0m 21s
1.18547E+17,TSI-AB-Hyderabad-Ring Road Branch Karmanghat,Lobby Camera 1,IVIS4191C1,TSI-AB,5/12/2019 10:39,Team Member,Vibration_ATM1,False Activity,0d 0h 0m 18s
1.18547E+17,IDFC-BP-UP-Noida Sector-18,ATM Lobby-1,IVIS6094C1,IDFC,5/12/2019 10:39,Team Member,Camera Event,Guard/Staff On Site,0d 0h 0m 14s
1.18547E+17,TSI-AB-Secundrabad-e-Seva Alwal,Lobby Camera 1,IVIS3079C1,TSI-AB,5/12/2019 10:39,Manual Wall,Video Loss,No threat perceived,0d 0h 0m 28s
1.18547E+17,IDFC-BB-MP-Ratlam,Teller-1,IVIS5240C1,IDFC,5/12/2019 10:39,Team Member,Camera Event,False Activity,0d 0h 0m 13s
1.18547E+17,Central Bank ZO Bhopal-POC,Cam11,IVISC001C4,CBI-POC,5/12/2019 10:39,Team Member,Camera Event,False Activity,0d 0h 0m 19s
1.18547E+17,BOB-RJ-Amet-Chungi Naka Chowk Offsite,Lobby,IVIS8787C1,BOB,5/12/2019 10:39,Team Member,Backdoor Sensor,ATM Transaction,0d 0h 0m 39s
1.18547E+17,JFS-MH-Mumbai-Virar,Bank Teller & Bank Vault,IVIS5519C2,JFS,5/12/2019 10:39,Team Member,Camera Event,Guard / Staff on Site,0d 0h 0m 23s
1.18547E+17,JFS-MH-Pune-Nigadi,Entrance & Lobby,IVIS8272C2,JFS,5/12/2019 10:39,Manual Wall,Camera Event,Staff on site,0d 0h 1m 9s
1.18547E+17,IDFC-BP-MH-Mum-Siddhi Vinayak Temple Prabhadevi,ATM Lobby,IVIS5100C3,IDFC,5/12/2019 10:39,Team Member,Camera Event,False Activity,0d 0h 0m 30s
1.18547E+17,BOB-PB-Jalandar Laily Complex Onsite,Lobby,IVIS7662C1,BOB,5/12/2019 10:39,Team Member,Hood Sensor,ATM Transaction,0d 0h 0m 28s
1.18547E+17,JFS-KTK-Bangalore-Mahalakshmi Layout,Bank Lobby,IVIS8321C2,JFS,5/12/2019 10:39,Team Member,Camera Event,False Activity,0d 0h 0m 25s
1.18547E+17,TSI-AB-Hyderabad-Bapuji Nagar IOCL Pump,Lobby Camera 2,IVIS3095C2,TSI-AB,5/12/2019 10:39,Team Member,Vibration_Front_glass,False Activity,0d 0h 0m 23s
1.18547E+17,IDFC-BP-MH-Mum-Bandra Kurla Complex,Bank Lobby,IVIS5103C3,IDFC,5/12/2019 10:39,Team Member,Camera Event,False Activity,0d 0h 0m 22s
1.18547E+17,IDFC-BP-TS-Hyd-Gachibowli,Teller-2,IVIS8342C5,IDFC,5/12/2019 10:39,Team Member,Camera Event,False Activity,0d 0h 0m 19s
1.18547E+17,IDFC-BP-KTK-Malleshwaram-1,Teller-1,IVIS6877C2,IDFC,5/12/2019 10:39,Team Member,Camera Event,False Activity,0d 0h 0m 14s
1.18547E+17,IDFC-BP-MH-Mum-Bandra Kurla Complex,ATM Lobby,IVIS5103C2,IDFC,5/12/2019 10:39,Team Member,Camera Event,Guard/Staff on site,0d 0h 0m 14s
1.18547E+17,SBI-Mumbai-Chandivali Mahada Sakinaka,Lobby Camera 1,IVIS2785C1,SBI-MUMBAI,5/12/2019 10:39,Team Member,GUARD_TOUR,ATM Transaction,0d 0h 0m 24s
1.18547E+17,SBI-AHMD-Rajkot-Station Road Dhoraji,Lobby Camera 2,IVIS3494C2,SBI-AHD,5/12/2019 10:39,Team Member,Vibration_Front_glass,False Activity,0d 0h 0m 27s
